iter	Passed	Remaining
724	15756	5976
725	15770	5951
726	15857	5954
727	15889	5936
728	15905	5912
729	15925	5890
730	15942	5866
731	15954	5841
732	15967	5816
733	15981	5791
734	15994	5766
735	16007	5741
736	16019	5716
737	16031	5691
738	16043	5666
739	16055	5641
740	16084	5621
741	16162	5619
742	16181	5597
743	16198	5573
744	16213	5549
745	16227	5525
746	16240	5500
747	16253	5475
748	16265	5450
749	16277	5425
750	16289	5400
751	16300	5375
752	16312	5350
753	16324	5326
754	16400	5321
755	16439	5305
756	16457	5283
757	16477	5260
758	16498	5238
759	16514	5215
760	16531	5191
761	16544	5167
762	16593	5154
763	16783	5184
764	16818	5166
765	16832	5142
766	16846	5117
767	16859	5093
768	16871	5068
769	16883	5043
770	16895	5018
771	16907	4993
772	16982	4987
773	17040	4975
774	17065	4954
775	17078	4930
776	17089	4904
777	17097	4878
778	17108	4853
779	17122	4829
780	17134	4804
781	17145	4779
782	17160	4755
783	17171	4730
784	17183	4706
785	17195	4681
786	17210	4657
787	17320	4659
788	17337	4636
789	17353	4612
790	17367	4588
791	17380	4564
792	17394	4540
793	17406	4516
794	17419	4491
795	17432	4467
796	17443	4442
797	17454	4418
798	17467	4394
799	17519	4379
800	17574	4366
801	17592	4343
802	17608	4319
803	17623	4296
804	17636	4272
805	17653	4249
806	17667	4225
807	17679	4201
808	17692	4177
809	17704	4153
810	17716	4128
811	17726	4104
812	17751	4083
813	17860	4081
814	17879	4058
815	17894	4034
816	17910	4011
817	17924	3988
818	17939	3964
819	17953	3941
820	17966	3917
821	17979	3893
822	17992	3869
823	18005	3845
824	18017	3821
825	18028	3797
826	18092	3784
827	18164	3773
828	18178	3749
829	18193	3726
830	18210	3703
831	18223	3679
832	18237	3656
833	18251	3632
834	18262	3608
835	18274	3584
836	18286	3561
837	18298	3537
838	18310	3513
839	18320	3489
840	18367	3472
841	18436	3459
842	18454	3436
843	18469	3413
844	18485	3390
845	18499	3367
846	18512	3344
847	18525	3320
848	18539	3297
849	18552	3273
850	18564	3250
851	18576	3226
852	18586	3203
853	18691	3195
854	18712	3173
855	18727	3150
856	18743	3127
857	18756	3104
858	18771	3081
859	18785	3058
860	18799	3034
861	18811	3011
862	18823	2988
863	18834	2964
864	18847	2941
865	18896	2924
866	18970	2910
867	18993	2888
868	19012	2866
869	19083	2851
870	19114	2830
871	19250	2825
872	19286	2805
873	19299	2782
874	19307	2758
875	19317	2734
876	19326	2710
877	19337	2686
878	19349	2663
879	19360	2640
880	19371	2616
881	19383	2593
882	19456	2578
883	19495	2558
884	19518	2536
885	19537	2513
886	19554	2491
887	19567	2468
888	19579	2444
889	19591	2421
890	19603	2398
891	19615	2374
892	19626	2351
893	19637	2328
894	19650	2305
895	19700	2286
896	19781	2271
897	19803	2249
898	19820	2226
899	19836	2204
900	19849	2181
901	19864	2158
902	19876	2135
903	19888	2112
904	19900	2089
905	19913	2066
906	19924	2042
907	19934	2019
908	19947	1996
909	20071	1985
910	20092	1962
911	20109	1940
912	20126	1917
913	20138	1894
914	20152	1872
915	20166	1849
916	20179	1826
917	20190	1803
918	20202	1780
919	20214	1757
920	20226	1734
921	20237	1712
922	20306	1694
923	20348	1673
924	20367	1651
925	20383	1628
926	20397	1606
927	20410	1583
928	20422	1560
929	20435	1538
930	20446	1515
931	20458	1492
932	20470	1470
933	20482	1447
934	20494	1424
935	20508	1402
936	20610	1385
937	20630	1363
938	20645	1341
939	20659	1318
940	20672	1296
941	20686	1273
942	20699	1251
943	20711	1228
944	20724	1206
945	20736	1183
946	20748	1161
947	20760	1138
948	20774	1116
949	20870	1098
950	20899	1076
951	20915	1054
952	20929	1032
953	20945	1009
954	20958	987
955	20971	965
956	20986	942
957	21000	920
958	21013	898
959	21026	876
960	21038	853
961	21049	831
962	21059	809
963	21171	790
964	21205	769
965	21227	747
966	21257	725
967	21273	703
968	21286	680
969	21299	658
970	21311	636
971	21323	614
972	21334	592
973	21347	569
974	21361	547
975	21497	528
976	21526	506
977	21541	484
978	21550	462
979	21560	440
980	21571	417
981	21584	395
982	21598	373
983	21610	351
984	21623	329
985	21634	307
986	21646	285
987	21679	263
988	21746	241
989	21778	219
990	21794	197
991	21811	175
992	21828	153
993	21842	131
994	21856	109
995	21870	87
996	21885	65
997	21897	43
998	21909	21
999	21919	0
